,sNovi,sAktivni,sUmrli,cNovi,cAktivni,cUmrli,bNovi,bAktivni,bUmrli
2020-01-01,0,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,1,0,0,0,0
2020-02-26,0,0,0,2,3,0,0,0,0
2020-02-27,0,0,0,0,3,0,0,0,0
2020-02-28,0,0,0,2,5,0,0,0,0
2020-02-29,0,0,0,1,6,0,0,0,0
2020-03-01,0,0,0,1,7,0,0,0,0
2020-03-02,0,0,0,1,8,0,0,0,0
2020-03-03,0,0,0,1,9,0,0,0,0
2020-03-04,0,0,0,1,10,0,0,0,0
2020-03-05,0,0,0,0,10,0,0,2,0
2020-03-06,0,1,0,1,11,0,1,3,0
2020-03-07,0,1,0,1,12,0,0,3,0
2020-03-08,0,1,0,0,12,0,0,3,0
2020-03-09,1,2,0,1,13,0,2,5,0
2020-03-10,3,5,0,2,15,0,2,7,0
2020-03-11,13,18,0,4,19,0,0,7,0
2020-03-12,6,24,0,8,26,0,4,11,0
2020-03-13,11,35,0,5,31,0,7,18,0
2020-03-14,11,46,0,7,37,0,3,21,0
2020-03-15,2,47,0,10,47,0,3,24,0
2020-03-16,9,56,0,8,54,0,1,23,0
2020-03-17,15,71,0,12,64,0,9,32,0
2020-03-18,17,88,0,20,84,0,5,37,0
2020-03-19,14,102,0,21,104,1,25,62,0
2020-03-20,32,132,0,20,124,0,25,87,0
2020-03-21,36,168,0,76,200,0,4,90,0
2020-03-22,51,218,1,48,248,0,33,123,0
2020-03-23,27,243,1,61,309,0,10,133,0
2020-03-24,54,285,0,67,376,0,32,163,2
2020-03-25,81,365,1,60,419,0,8,171,0
2020-03-26,73,435,3,53,470,2,15,186,0
2020-03-27,71,478,1,91,546,0,46,228,1
2020-03-28,131,607,2,71,607,2,41,264,2
2020-03-29,82,686,3,56,652,1,45,309,0
2020-03-30,44,727,3,77,717,0,45,341,4
2020-03-31,115,835,7,77,794,0,52,390,3
2020-04-01,160,990,5,96,884,0,39,427,0
2020-04-02,111,1098,3,48,916,1,74,497,3
2020-04-03,305,1383,8,68,979,1,46,535,1
2020-04-04,148,1526,5,47,995,4,45,573,4
2020-04-05,284,1803,7,56,1042,3,30,601,2
2020-04-06,292,2024,7,40,1076,1,20,598,6
2020-04-07,247,2268,3,60,1097,2,90,663,4
2020-04-08,219,2483,4,61,1145,1,40,691,1
2020-04-09,201,2683,1,64,1168,1,54,722,1
2020-04-10,238,2916,5,88,1243,1,43,736,1
2020-04-11,275,3188,3,39,1190,0,45,770,1
2020-04-12,250,3150,6,66,1204,2,63,777,2
2020-04-13,424,3569,5,50,1225,2,28,792,0
2020-04-14,411,3971,9,54,1258,6,46,807,1
2020-04-15,408,4374,5,37,1235,2,27,816,1
2020-04-16,445,4772,4,50,1227,2,57,847,2
2020-04-17,372,5046,7,23,1178,1,47,848,3
2020-04-18,304,5240,7,18,1178,3,54,883,1
2020-04-19,324,5443,5,39,1115,8,17,890,1
2020-04-20,312,5635,3,10,1063,0,24,879,1
2020-04-21,260,5783,5,27,1059,1,33,854,2
2020-04-22,224,5955,4,42,1033,0,26,855,2
2020-04-23,162,6074,5,31,1048,2,45,874,1
